epoch,epsilon,time,reward
89,0.5,1701682890.3912554,-50.85825941487706
90,0.5,1701682891.0088081,-51.3615845782758
91,0.5,1701682891.6592293,-56.476161297852386
92,0.5,1701682892.284694,-51.0384072517896
93,0.5,1701682892.8905606,-49.84313997821351
94,0.5,1701682893.5691028,-51.52634881730471
95,0.5,1701682894.2125747,-51.05946195144728
96,0.5,1701682894.978441,-51.444025054466216
97,0.5,1701682895.6317213,-50.76542055711171
98,0.5,1701682896.2621467,-49.60631613756613
99,0.45,1701682896.901621,-57.21075785869902
100,0.45,1701682897.550392,-48.850147836912534
101,0.45,1701682898.2541366,-52.11214480236538
102,0.45,1701682898.8997102,-50.69615701836292
103,0.45,1701682899.5340302,-52.40688180827887
104,0.45,1701682900.244694,-50.0158932461874
105,0.45,1701682900.90405,-49.58297035480857
106,0.45,1701682901.5705268,-51.04351346093995
107,0.45,1701682902.2017431,-51.87869981325868
108,0.45,1701682902.843641,-56.5845210862123
109,0.45,1701682903.471053,-51.6718977591036
110,0.45,1701682904.0808105,-50.977042872704665
111,0.45,1701682904.730603,-51.93956660441948
112,0.45,1701682905.36475,-53.03050964830374
113,0.45,1701682906.124324,-49.90778166822288
114,0.45,1701682906.7733183,-51.55188530967945
115,0.45,1701682907.4035296,-54.881180361033344
116,0.45,1701682908.0204265,-50.22343098350454
117,0.45,1701682908.6881351,-49.825498755057595
118,0.45,1701682909.370301,-48.44440826330537
119,0.45,1701682910.0143828,-49.79012838468719
120,0.45,1701682910.788991,-50.78257314036731
121,0.45,1701682911.644719,-51.82214130096481
122,0.45,1701682912.39984,-50.07935807656397
123,0.45,1701682913.1675866,-49.295098817304655
124,0.45,1701682913.8695047,-52.671643323996285
125,0.45,1701682914.5250173,-49.74663048552753
126,0.45,1701682915.1840415,-52.130630252100815
127,0.45,1701682915.81974,-53.1713281979458
128,0.45,1701682916.4627876,-49.66676859632739
129,0.45,1701682917.1117394,-49.72298280423279
130,0.45,1701682917.849869,-49.88781395891694
131,0.45,1701682918.5299444,-51.969464674758825
